2020 mar 27 16:34:03 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded AIBench Core   [version 2.10.2]
2020 mar 27 16:34:03 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded AIBench Plugin Manager   [version 2.10.2]
2020 mar 27 16:34:03 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded AIBench Workbench   [version 2.10.2]
2020 mar 27 16:34:03 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-automatic-annotation   [version 4.0.3]
2020 mar 27 16:34:03 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-biocoiso   [version 4.0.3]
2020 mar 27 16:34:03 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-exporter   [version 4.0.3]
2020 mar 27 16:34:03 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-gpr   [version 4.0.3]
2020 mar 27 16:34:03 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-gui   [version 4.0.3]
2020 mar 27 16:34:03 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-settings   [version 4.0.3]
2020 mar 27 16:34:03 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-transyt   [version 4.0.3]
2020 mar 27 16:34:05 [AWT-EventQueue-0] putItemInSlot WARN  e.u.ei.aibench.workbench.MainWindow - slot not found to place some component: bottom
2020 mar 27 16:34:16 [AWT-EventQueue-0] getInputComponentsPane INFO  p.c.b.m.m.s.HeapSpaceSettingsGUI - Approximate memory size: 16
2020 mar 27 16:34:16 [AWT-EventQueue-0] getMemorySelected INFO  p.c.b.m.m.s.HeapSpaceSettingsGUI - Current heap space memory in use: 	<property name="JAVA_PARAM" value="-Xmx8G"/>
2020 mar 27 16:34:18 [AWT-EventQueue-0] lambda$0 INFO  p.c.b.m.m.s.HeapSpaceSettingsGUI - Set new heap space operation canceled.
2020 mar 27 16:34:42 [AWT-EventQueue-0] itemStateChanged WARN  p.u.c.b.m.g.jpanels.WorkspaceNewGUI - It was not possible to create a database service with validation method for database 'quercusSuberDiogo2'! Retrying with uptade to the database structure!
2020 mar 27 16:34:51 [AWT-EventQueue-0] itemStateChanged INFO  p.u.c.b.m.g.jpanels.WorkspaceNewGUI - Success with update method
2020 mar 27 16:37:21 [Thread-33] buildModel ERROR p.u.c.b.m.b.i.r.ContainerBuilder - null reaction metabolites for 1 R03718
2020 mar 27 16:37:22 [Thread-33] buildModel ERROR p.u.c.b.m.b.i.r.ContainerBuilder - null reaction metabolites for 3 R03710
2020 mar 27 16:37:22 [Thread-33] buildModel ERROR p.u.c.b.m.b.i.r.ContainerBuilder - null reaction metabolites for 4 R03712
2020 mar 27 16:37:22 [Thread-33] buildModel ERROR p.u.c.b.m.b.i.r.ContainerBuilder - null reaction metabolites for 5 R03711
2020 mar 27 16:37:22 [Thread-33] buildModel ERROR p.u.c.b.m.b.i.r.ContainerBuilder - null reaction metabolites for 7 R03716
2020 mar 27 16:37:22 [Thread-33] buildModel ERROR p.u.c.b.m.b.i.r.ContainerBuilder - null reaction metabolites for 9 R03706
2020 mar 27 16:37:22 [Thread-33] buildModel ERROR p.u.c.b.m.b.i.r.ContainerBuilder - null reaction metabolites for 10 R03709
2020 mar 27 16:37:22 [Thread-33] buildModel ERROR p.u.c.b.m.b.i.r.ContainerBuilder - null reaction metabolites for 11 R03708
2020 mar 27 16:37:22 [Thread-33] buildModel ERROR p.u.c.b.m.b.i.r.ContainerBuilder - null reaction metabolites for 12 R03701
